model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
SILVERADO T1CCH HD CREW       ,616,595,867,934,1068,1037,910,552,0,0,0,0,8/20/2023,8/19/2023
SILVERADO T1ECF LD DBL        ,111,117,151,181,168,166,273,140,0,0,0,0,8/20/2023,8/19/2023
SILVERADO T1ECH HD DBL        ,140,166,175,219,207,172,116,55,0,0,0,0,8/20/2023,8/19/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,14,8,0,0,0,0,8/20/2023,8/19/2023
SILVERADO T1RCH HD REG        ,64,55,87,92,155,240,201,99,0,0,0,0,8/20/2023,8/19/2023
SILVERADO 4500/5500           ,128,246,253,94,31,129,366,160,0,0,0,0,8/20/2023,8/19/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,1,0,0,0,0,8/20/2023,8/19/2023
SUBURBAN T1YCF                ,33,50,88,55,79,85,70,69,0,0,0,0,8/20/2023,8/19/2023
TAHOE T1UCF                   ,86,76,126,118,104,153,124,76,0,0,0,0,8/20/2023,8/19/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,86,27,0,0,0,0,8/20/2023,8/19/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,75,52,0,0,0,0,8/20/2023,8/19/2023
TRAVERSE C1YC                 ,132,155,212,154,140,145,172,100,0,0,0,0,8/20/2023,8/19/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,40,35,0,0,0,0,8/20/2023,8/19/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,1,0,0,0,0,8/20/2023,8/19/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,8/20/2023,8/19/2023
XT5 C1UL                      ,96,70,92,70,112,83,58,24,0,0,0,0,8/20/2023,8/19/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,-2,-2,0,0,0,0,8/20/2023,8/19/2023
YUKON T1UGF                   ,25,27,44,62,47,70,68,33,0,0,0,0,8/20/2023,8/19/2023
YUKON XL T1YGF                ,27,38,72,32,47,57,52,35,0,0,0,0,8/20/2023,8/19/2023
ACADIA C1UG                   ,42,64,55,59,69,38,47,12,0,0,0,0,8/11/2023,8/10/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,8/11/2023,8/10/2023
BLAZER C1UC                   ,56,40,29,51,44,42,52,11,0,0,0,0,8/11/2023,8/10/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,8/11/2023,8/10/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,-4,0,0,0,0,8/11/2023,8/10/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,5,1,0,0,0,0,8/11/2023,8/10/2023
